序号	类别	考核项目	考核内容及评价标准	考核评价方法	扣分标准	扣分说明	得分
					*租赁设备自带人员未持证上岗，扣2分。		
		3.4从业人员劳动保护（2分）	全员劳动用工登记，签订劳动合同。	查花名册、领用记录。	未与从业人员签订劳动合同，扣2分。		
			编制劳动保护用品和职业健康防护用品发放记录。		签订劳动合同的人员未覆盖所有从业人员，视情节扣1-2分。		
					未建立人员台账，扣2分，台账不完善，视情节扣1-2分。		
					无劳动保护用品和职业健康防护用品发放记录，扣2分。		
4	安全生产责任（10分）	4.1责任制制定（3分）	*编制项目安全生产管理责任制度，应当明确各岗位的责任人员、责任范围和考核标准等内容。	查文件。	*未编制安全生产管理责任制度，或未明确各岗位的责任人员名单、责任范围和考核标准，扣3分。		
					制度内容不全面、未覆盖全员或考核标准、周期不明确，视情节扣1-3分。		
		4.2责任签认（2分）	项目、各部门及作业层安全岗位职责及责任人明确。	查文件及责任落实及考核资料。	未明确项目、各部门及作业层安全岗位责任或责任人，扣2分。		
					未进行全员安全责任签认，扣2分。		
					安全生产责任签认，每缺一人，扣1分。		
		4.3责任考核（3分）	落实安全生产责任制并进行检查、考核。	查文件及责任落实及考核资料。	未组织安全生产责任考核，扣3分。		
					安全责任考核未覆盖全员、考核内容不全、考核周期不连续、考核结果未应用、无兑现奖惩，每缺一项扣1分。		
		4.4责任追究（2分）	制定责任追究制度，按制度规定进行追责。	查文件及责任落实及考核资料。	未制定责任追究制度，扣2分。		
					未按规定追责，视情节扣1-2分。		
					未开展警示教育，视情节扣1-2分。		
5	安全风险管控（20分）	5.1风险评估（8分）	*按规定开展施工安全风险辨识和风险评估。	查文件，现场核对。	*未按规定开展公路水运工程施工安全风险评估，扣8分。		
			根据风险辨识和评估结果编制重大风险清单。		*未按规定开展公路水运工程施工安全风险辨识，扣8分。		
					风险辨识、评估结论不充分、不全面，视情节扣2-4分。		
					未编制重大风险清单，扣8分。		
					重大风险清单不全面，视情节扣2-5分。		
		5.2风险控制（10分）	*对重大风险制定安全管控方案。	查文件，查资料，现场核对。	*未制定重大风险安全管控方案，扣5分.		
			*重大风险按规定告知作业人员。		安全管控方案中未明确责任人或预控措施针对性不强，视情节扣2-4分。		
			*对风险较高区域设置隔离区或警戒区以及风险告知牌。		*重大风险、危险因素、防范措施以及应急避险措施，未按规定告知作业人员，发现一次扣3分。		
			*重大风险按规定向属地直接监管的安全监督管理部门进行报备。		*未按规定设置隔离区、警戒区以及风险告知牌，发现一次扣2分。		
			作业场所和工作岗位存在的危险因素、防范措施以及事故应急措施，应当如实告知作业人员。		*未按规定报备重大风险的，扣4分；报备时间延误导致重大风险演变为重大事故隐患的，扣10分。		
			明确特殊时间、危险作业环节项目负责人带班制度。		未制定危险作业环节项目负责人带班制度，扣4分。		
					未执行带班制度，或制度执行不严格、记录不连续，视情节扣1-3分。		
		5.3风险监测（2分）	建立风险动态监控机制，按规定进行监测、评估、预警，及时掌握风险的状态和变化趋势。	查资料，现场核对。	未建立风险动态监控机制，扣2分。		
			对重大风险进行监测、检查，建立风险动态监控台账。		未开展重大风险动态监测、预警和控制的，扣2分。		
					未建立重大风险动态监测台账的，扣1分。		
6	事故隐患治理（20分）	6.1安全检查（8分）	定期开展安全检查，项目部每月至少开展一次安全综合检查，每周开展专项安全检查，安全管理人员每日安全巡查。开（复）工、季节交替、恶劣天气和节假日应组织安全检查，并做好记录。	查文件，查检查记录。			
					未定期开展安全检查，或安全检查不连续，或检查发现的问题未及时整改，或问题整改不闭合，视情节扣3-6分。		
					安全检查记录缺失、不连续、不闭合，视情节扣2-4分。		
		6.2隐患排查治理（6分）	*制定隐患排查治理制度。	查文件，查隐患清单或台账。	*未制定隐患排查治理制度，扣6分。		
			发现隐患限期整改，做好复查验证，确保闭合。		未制定重大事故隐患治理方案，或重大事故隐患治理方案的责任、措施、资金、时限、预案（五到位）不落实的，视情节扣2-4分。		
			*建立隐患清单或台账。		未限期整改隐患，或隐患反复出现，未对隐患整改情况进行复查验证，发现一处视情节扣2-4分。		
			隐患排查治理情况应当如实记录，并向从业人员通报。 		*未建立隐患清单或台账，或清单、台账不全面、不闭合，视情节扣2-3分。		
					施工现场未张贴已发现的重大事故隐患清单，隐患治理情况未向从业人员通报，视情节扣2-4分。		
		6.3隐患统计分析（2分）	定期统计分析隐患清单或台账，举一反三，制定治理措施。	查文件，查隐患清单或台账。	未定期统计分析事故隐患治理情况，扣2分。		
					未针对隐患多发部位或环节制定相应的管理措施，扣1分。		
		6.4重大事故隐患治理（4分）	*重大事故隐患要挂牌整改，及时上报，项目负责人要带班检查。	查文件，查资料。	*重大事故隐患未及时按规定报告，扣4分。		
					*重大事故隐患未挂牌整改或整改不到位，视情节扣2-4分。		
					*项目负责人未进行带班检查，或检查记录不全，视情节扣1-2分。		
7	施工设备、设施、机具及防护用品管理（10分）	7.1机械设备设施及防护用品管理（5分）	建立机械设备分类管理台账。	"查台账,现场核对。"	未建立机械设备分类管理台账，扣2分；台账不全、不连续，视情节扣1-2分。		
			自有或租赁的施工机械设备、设施、机具及配件，应当具有生产（制造）许可证、产品合格证或者法定检验检测合格证明。		设备租赁合同未明确安全责任，或未提供生产（制造）许可证、产品合格证或者法定检验检测合格证明，发现一台扣2分。		
			施工现场的安全防护用具、机械设备、施工机具及配件必须由专人管理，定期进行检查、维修和保养，建立相应的资料档案，并按照国家有关规定及时报废。		安全防护用具、机械设备、施工机具及配件未配备专职管理人员，或无管理档案，或未按规定及时更新的，发现一处视情节扣1-2分。		
			*大型模板、承重支架及未列入国家特种设备目录的非标设备，应组织专家论证和验收。		*按规定应当组织专家论证或验收的大型模板、承重支架、非标设备等未组织的，发现一台扣2分。		
		7.2特种设备管理（5分）	*特种设备安装拆除应由具备资质条件的单位承担，拆装应当编制方案、制定安全施工措施。	"查台账,现场核对。"	*特种设备安装、拆除无方案，或由不具备资质条件的单位承担，发现一台扣5分。		
			特种设备投入使用前经检验合格，日常检查、维修、保养记录齐全。		特种设备未经检验合格投入使用，每发现一台扣3分。		
			建立特种设备管理档案。		未申请办理使用登记手续的，每发现一台扣1分。		
					无日常检查、维修保养记录，每发现1台扣2分；记录不全面，视情节扣1-2分。		
					特种设备档案不规范，发现一处扣1分。		
8	安全技术管理（15分）	8.1施工组织设计（5分）	施工组织设计应结合风险评估结论，制定有针对性的安全技术保障措施，并经施工企业技术负责人审核、签认，企业内部审批手续齐全。	查资料。	施工组织设计未结合施工风险评估结论完善安全技术保障措施，或安全技术保障措施不全、针对性不强、操作性不足，发现一项视情节扣2-4分。		
					施工企业内部审批手续不完善，或未根据企业审核意见及时更新施工组织设计，或企业审查意见不详细，发现一项视情节扣1-3分。		
		8.2专项施工方案（5分）	*对评估达到重大风险的工程和危险性较大分部分项工程，应编制专项施工方案。	查台账、文件，现场核对。	*专项施工方案不齐全，或内容不完善，或针对性不强，发现一项视情节扣1-3分。		
			按规定程序对专项施工方案组织评审。		超过一定规模的危险性较大分部分项工程专项施工方案不按规定组织专家论证的，发现一份扣3分。		
			超过一定规模的危险性较大分部分项工程专项施工方案应组织专家论证。		专项施工方案未报批或未经评审通过，发现一份扣2分。		
			严格按专项施工方案落实到位。		未按专项施工方案实施的，发现一次扣2分。		
		8.3安全技术交底（3分）	明确安全技术交底的责任人、对象、方法、内容。	查文件、台账及记录。	安全技术交底资料不全，或未按岗位层级设置交底内容，或内容缺乏针对性，发现一处扣1分。		
			逐级交底记录清晰、真实，内容合理。		未建立安全技术交底台账，扣1分。		
			建立安全技术交底台账。		安全技术交底记录不真实，扣2分。		
					未交底至一线作业人员，视情节扣1-2分。		
		8.4临时用电方案（2分）	按规定制定临时用电方案。	查方案、记录。	未按规定制定临时用电方案，扣2分，由非电气工程师编制方案或未按规定履行审批手续的，视情节扣1-2分。		
			标注临时用电平面布置图，附施工现场用电负荷计算资料。		临时用电方案中的用电设备清单、负荷计算、用电工程图纸等不完整，发现一处视情节扣1-2分。		
			施工现场临时用电的巡视、维修、保养记录完整。		未标注用电平面布置图，扣2分。		
					无电工巡视维修保养记录或记录不连续，视情节扣1-2分。		
9	安全教育培训（10分）	9.1三级安全教育（5分）	*制定年度安全教育培训计划并实施。	查资料。	*未建立年度教育培训计划，扣5分。		
			对从业人员进行安全生产教育和培训，保证从业人员具备必要的安全生产知识，考核合格后方可上岗。		教育培训计划不合理、未覆盖全员、经费无计划，视情节扣2-4分。		
			新职工上岗前必须进行三级安全教育。转岗、复岗人员应重新接受教育。		未按计划对相关人员进行教育培训，或未组织教育培训考核，视情节扣2-5分。		
					培训时间、内容，参加培训人员记录不清晰，发现一次扣2分。		
					经查实培训记录造假、或存在代签情况，发现一次扣5分。		
		9.2经常性培训和警示教育（3分）	结合季节特点、施工特点、安全形势等开展经常性教育和警示教育。				
		9.3“四新”培训（2分）	采用新工艺、新技术前或使用新设备、新材料前，应对从业人员进行专门的安全生产培训。				
10	应急预案及演练（10分）	10.1应急预案（4分）	制定操作性强的各类专项应急预案及现场处置方案。	查文件、记录。	未制定合同段施工专项应急预案和现场处置方案，扣4分。		
			建立应急管理组织，配备兼职的应急队伍。		合同段施工专项应急预案或现场处置方案不全，发现一项扣1分。		
					应急预案应急管理要素不全、操作性不强，视情节扣1-3分。		
					未按规定配置兼职的应急管理人员，扣2分。		
		10.2应急演练（4分）	有针对性的开展应急培训和演练，并及时总结完善。	查文件、记录。	未开展应急培训及预案演练，视情节扣2-4分。		
					应急演练后未总结或未根据演练情况实时更新预案，视情节扣2-3分。		
		10.3应急器材、设备、物资管理（2分）	建立应急救援的器材、设备、物资清单，应急物资不得随意使用。	"查台账,现场核对。"	应急救援器材、设备、物资配备不足或台账不清晰，视情节扣1-2分。		
			建立消防设施和灭火器材等消防器材设备清单，定期检查维护。		应急救援器材、设备、物资未实施单独管理，与日常物资混用，扣2分。		
					应急救援器材、设备、物资清单与现场应急救援物资不对应，发现一项扣1分。		
					未对应急物资进行定期检查，扣1分。		
					未建立消防设备和灭火器材等清单，扣2分；无定期检查、维护、更新台账，视情节扣1-2分。		
11	安全生产费用（8分）	11.1安全生产费用提取（3分）	*根据年度施工计划编制年度安全生产费用提取、使用计划，并按规定足额提取。	查文件。	*未制定年度安全生产费用提取、使用计划，扣3分。年度安全生产费用提取、使用计划与年度施工计划不相符，扣2分。		
					*未按规定足额提取安全生产费用，视情节扣1-3分。		
					*未明确安全生产费用使用范围，视情节扣1-3分。		
		11.2安全生产费用使用（5分）	按规定提取使用年度安全生产费用，建立使用台账。	查文件、资料。	未按规定使用的，发现一次视情节扣2-4分。		
					未建立安全生产费用使用台账，或台账所附证明不齐全、不真实，发现一次视情节扣1-3分。		
12	分包队伍管理（10分）	12.1资质管理（2分）	*对分包单位营业执照、企业资质等级证书、安全生产许可证、安全生产考核合格证书等进行审查备案。	查资料。	*分包单位相关资质证书、安全生产许可证过期失效，扣2分。		
			*分包协议明确双方安全管理责任义务。		*未留存相关证书复印件的，扣2分。		
					*分包协议双方安全管理责任义务缺少、不明确、不对等，视情节扣1-2分。		
		12.2安全教育培训（3分）	及时组织对分包单位入场作业人员进行安全教育培训。建立班组实名登记台账。	查资料。	未及时对新入场作业人员进行安全教育培训的，或未建立班组实名登记台账的，或登记台账不齐全的，发现一人次扣1分。		
		12.3日常管理（3分）	组织分包单位定期开展安全风险辨识和告知。	查资料，查现场。	未开展安全风险辨识的，扣3分。		
			施工前所有人员应接受安全技术交底并签字确认。		未对安全风险进行告知的，视情节扣1-2分。		
			定期开展安全检查，及时开展事故隐患排查治理。		安全技术交底没有签字的，发现一人扣1分。		
			配备合格的劳动防护用品。		未及时整改事故隐患的，或存在屡改屡犯的，发现一处扣1分。		
					劳动防护用品未经检验合格的，或检验合格证书已过期仍在使用的，视情节扣1-2分。		
		12.4分包考核（2分）	定期对分包单位关键岗位人员进行考核，考核不合格不用。	查资料。	未对分包单位关键岗位人员进行定期考核的，或未建立考核合格的分包队伍台账的，视情节扣1-2分。		
13	落实行业主管部门安全生产专项工作（9分）	13.1行业主管部门安全生产专项工作落实情况（4分）	严格落实行业主管部门布置的安全生产专项工作。	查文件、记录，现场核对。	未按要求制定安全生产专项工作方案或行动计划，发现一次扣1分。		
			制定具体的落实方案或行动计划。		安全生产专项工作落实不到位，或应付了事、走过场，发现一次视情节扣2-4分。		
			严格按方案或计划执行。				
		13.2考核评价（5分）	*按照平安工地建设考核评价标准，定期开展自我评价。	查文件、资料。	*未按规定开展平安工地自我评价的，扣5分。		
			评价资料真实、准确。		自我评价走过场或不及时的，或未根据评价情况进行自我纠正的，视情节扣2-4分。		
					评价资料欠真实、不准确，视情节扣1-3分。		
					平安工地自我评价结果未按要求及时上报监理单位审核的，扣2分。		
