序号	类别	考核项目	考核内容及评价标准	考核评价方法	扣分标准	扣分说明	得分
			场内应设置明显的安全警示标志及相关工作的操作规程。		*龙门吊轨道地基下沉、轨道松动，视情节扣1-3分。		
					轨道的螺栓未上紧，发现一处扣1分。		
					场内未设置明显的安全警示标志及操作规程，发现一处扣1分。		
		1.5临时用电（5分）	*施工现场临时用电按“三级配电，逐级回路保护”设置。	方案与现场比对检查。	现场临时用电未按临时用电方案布设，扣2-4分。		
			*水上或潮湿地带电缆线必须绝缘良好并具有防水功能，电缆线接头必须经防水处理。		*未按“三级配电、逐级回路保护”设置的，发现一处扣2分。		
			*每台用电设备必须设独立开关箱；开关箱必须装设隔离开关及短路、过载、漏电保护器；配电箱、开关箱电源进线端严禁用插头或插座做活动连接。		*需经防水处理的电缆未做防水处理的，发现一处扣2分。		
			电缆应采用架空或埋地敷设。		*用电设备未设独立开关箱的，发现一台扣1分。		
			配电箱、开关箱应装设端正、牢固。		*开关箱未设短路、过载、漏电保护器的，发现一处扣1分。		
			工程使用的电线电缆入场前应当按规定抽样检测，无检测合格报告的不得使用。		*开关箱电源进线端用插头或插座做活动连接的，发现一处扣1分。		
					电线架空和入地埋设不规范的，发现一处扣1分。		
					配电箱、开关箱锈蚀严重、或无锁、或装设不牢固的，发现一处扣1分。		
					工程使用的电线电缆入场前未按规定开展抽样检测，或无检测合格报告的，发现一次扣1分。		
		1.6消防安全（5分）	*施工生产、生活、办公区域消防设施、消防通道和安全距离符合消防安全要求。	查看现场。	*施工生产、生活、办公区域的消防设施配备不足，或配备不正确，或维护、更新不及时，发现一处视情节扣2-3分。		
			消防区域悬挂责任铭牌。		*消防通道不满足要求，扣5分。		
			办公、生活区建筑构件使用的材质燃烧性能等应当达到A级。		未悬挂消防责任铭牌，发现一处扣1分。		
					办公、生活区建筑构件使用的材质燃烧性能等未达到A级或未注明等级的，扣5分。		
		1.7施工便道便桥（6分）	*便桥应进行专项设计，并对隐蔽工程应组织验收，按设计荷载使用。	查看现场。	*便桥未开展专项设计或未经验收即投入使用，扣5分。便桥超限超载使用的，发现一处扣2分。		
			*施工便桥应设置限宽、限速、限载标志，并有验收手续。跨航道便桥应设置防撞设施和警示标志。		*便桥未设限宽、限速、限载标志，发现一处扣1分。		
			便道在急弯、陡坡、连续转弯等危险路段应硬化，在平交道口设置警示标志。		*跨航道便桥缺少防撞设施和警示标志的，发现一处扣1分。		
			便道具有必要的通行能力。		便道应当硬化未硬化、临时排水设施不到位，通行能力不足的，发现一处视情节扣1-3分。		
		1.8临时码头与栈桥（5分）	*临时码头与栈桥应进行专项设计，并对隐蔽工程组织验收，按设计荷载使用。	查看现场。	*临时码头及栈桥未开展专项设计，或未组织隐蔽验收即投入使用的，或未按设计荷载使用，扣5分。		
			*应设置安全警示标志，配备相应的安全防护及救生设施。		*未配备安全防护及救生设备的，发现一处扣2分。		
			*栈桥和临时码头应设专人管理，非施工车辆、人员及船舶不得进入或靠泊。		*未设置或未合理设置安全警示标志的，视情节扣1-2分。		
			按经审批的方案开展码头或栈桥的沉降位移观测，及时检查、维护。		*未进行专人管理，扣2分。		
			通过栈桥的电缆应绝缘良好，并应固定在栈桥的一侧。		未按方案对码头、栈桥开展观测、检查和维修，或相关工作不规范、不连续的，视情节扣2-4分。		
			栈桥应设置满足施工安全要求的照明设施。		栈桥未按规定设置照明设施的，视情节扣1-2分。		
							
2	安全防护（36分）	2.1防护栏杆、安全网及其它防打击、防坠落措施（13分）	*高处、临边、临水作业及孔洞应设置防护栏杆及安全网。	查看现场。	*未按规定设置防护栏杆、安全网或其它安全防护设施的，发现一处扣1分。		
			*下方有人员通行或作业的，应设置挡脚、防滑设施、安全网、安全通道等。		*防护设施搭设不规范，发现一处扣1分。		
			*跨越既有公路施工时，应搭设防护棚架。棚架应进行专项设计。		*安全通道未搭设或搭设不规范，发现一处扣1分。		
					*跨越既有公路施工时，未搭设防护棚架或搭设不规范的，视情节扣3-5分。		
					*棚架应进行专项设计而未设计的，扣5分。		
		2.2文明施工、安全警示标志、标牌（10分）	区域分区标牌合理。重大风险、重大事故隐患应在明显位置公示。	查看现场。	施工现场未设置封闭围挡，或无五牌一图，或未公示重大风险、重大事故隐患的，发现一处扣3分。		
			*施工现场应按规定设置封闭围挡，并在明显位置设置“五牌一图”。		*未按规定设置文明施工、安全警示标志、标牌及操作规程牌的，发现一处扣1分。		
			*交通要道、重要作业场所，危险区域设置安全警示标志、标牌。		*施工便道与既有道路平面交叉处未设置道口警示标志，发现一处扣1分。		
			*施工便道与既有道路平面交叉处设置道口警示标志，有高度限制的应设置限高架。		*有高度限制未设置限高架，发现一处扣1分。		
			施工机械、设备按要求设置安全操作规程牌。		未按规定落实施工扬尘防控措施，发现一处扣1分。		
			按规定落实施工扬尘防控措施。				
		2.3避雷设备（5分）	拌和、打桩和起重等高耸设备及其它电器设备按规定设置避雷设施。	查看现场。	未按要求设置避雷设施的，发现一处扣1分。		
					未测试防雷接地电阻或防雷接地电阻不符合要求的，发现一处扣1分。		
		2.4个体防护（8分）	*进入施工现场的人员及作业人员应按规定配置和正确使用防护用品。	查看现场。	*未按照规定配置和使用个体防护用品，发现一人次扣1分。		
					*使用假冒伪劣的的防护用品，或使用超过使用合格期的防护用品，发现一人次扣3分。		
363	施工作业（70分）	3.1高处作业（10分）	*高处作业必须设置人员上下专用通道，基础应牢固。	查看现场。	*高处作业未按要求设置人员上下专用通道，发现一处扣5分。		
			*作业平台脚手板应铺满且固定牢固，不应有翘头板，并挂置安全网。配备必须的消防器材。		*作业平台搭设不牢固，发现一处扣3分。		
			5m以下应设置防护梯。		*作业平台有翘头板或漏洞，发现一处扣2分。		
			5m以上应设置“之”字形人行斜梯。		*未按规定挂置安全网，发现一处扣1分。		
			40m以上宜安装附着式电梯。		未按规定设置防护梯、人行梯、电梯的，发现一处扣3分。		
		3.2支架脚手架（12分）	*施工现场搭设和拆除支架脚手架应满足方案要求。拆除作业应设置警戒区。	方案与现场比对检查。	*未按方案搭设和拆除支架脚手架，视情节扣4-8分。		
			*支架和脚手架基础牢固。		*拆除作业未设置警戒区的，扣4分。		
			*排水设施完善。		*基础处理不符合方案要求，扣2分。		
			*脚手架与建筑结构物按规定进行拉结牢靠。夜间不得进行支架脚手架的拆除作业。		*排水设施不完善，扣2分。		
			*搭设支架和脚手架的材料应逐批次进场检验，每批材料抽检一组，应有检测报告。		*脚手架与建筑结构物未拉结或拉结不牢的，发现一处扣3分。		
			*搭设高度大于10m的脚手架应设置缆风绳或固定措施。		*夜间组织拆除支架脚手架的，发现一次扣5分。		
			*承重支架搭设应制定专项施工方案，搭设后应按规定组织验收，验收通过后应挂牌公示及告知。		*对支架和脚手架的材料抽检数量不足，或材料无出厂合格证明，或抽检质量不合格，每发现一处，扣5分。		
					*承重支架搭设未制定专项施工方案，视情节扣4-6分。		
					*对搭设的承重支架和脚手架未组织验收，发现一处扣4分。		
					*未挂牌公示和公告，发现一处扣1分。		
					*承重支架使用前未进行预压，或预压不符合要求，发现一处扣2分。		
					*未按要求设置缆风绳或固定措施，发现一处扣2分。		
					*缆风绳搭设不规范，发现一处视情节扣1-2分。		
		3.3模板工程（8分）	*大型模板搭设和拆除应有专项施工方案，并应设置工作平台和符合规范要求的爬梯。	方案与现场比对检查。	*大型模板搭设、拆除未制定专项施工方案，或方案未经审批，或方案内容有缺项、操作性不强，视情节扣2-6分。		
			*模板吊环不得采用螺纹钢筋。		*模板吊环采用螺纹钢筋的，发现一处扣2分。		
			模板制作、存放、使用、拆除满足方案要求。		模板制作、存放、防倾覆、使用、拆除等不符合方案要求，发现一处扣2分。		
			大型模板使用前应组织验收。重复使用时应逐次检查并予以记录。		大型模板使用前未组织验收，扣6分。		
					大型模板验收程序不规范、验收记录不完善，视情节扣3-6分。		
					重复使用的大型模板再次投入使用前无检验记录，发现一次扣3分。		
		3.4焊接切割作业（6分）	*电工、焊接与热切割作业人员应持证上岗，并正确佩戴、使用劳动防护用品。	查看现场。	*电工、焊接与热切割作业人员未持证上岗，或未佩戴、使用劳动保护用品，发现一人次扣1分。		
			*密闭空间内实施焊接及切割，应采取相应的通风、绝缘、照明装置和应急救援装备，并由专人现场监护，气瓶及焊接电源应置于密闭空间外。		*密闭空间焊接，未实施通风、绝缘、照明等措施，或无应急装备等，发现一处扣4分。		
			电焊机一次侧电源线长度不得大于5m，二次侧焊接线应采用防水绝缘橡胶护套铜芯软电缆，长度不宜大于30m，进出线处应设置防护罩。		电焊机电源线不足，进出线未设防护罩，扣2分。		
			电焊机外壳应接地，接地电阻不得大于4Ω。		电焊机外壳未接地，发现一处扣2分。		
			气割作业氧气瓶与乙炔瓶之间的距离不得小于5m。		氧气瓶、乙炔瓶等作业的安全距离不足，发现一处扣2分。		
							
		3.5机械设备作业（16分）	*吊装作业应设置警戒区，警戒区不得小于起吊物坠落影响范围。	查看现场与资料比对检查。	*吊装作业未设置警戒区的，扣3分。		
			*高空调转梁等大型构件应在构件两端设溜绳。		*垂直升降设备、塔吊基础及附着装置不稳定牢固，发现一处扣5分。		
			*垂直升降设备基础满足要求，架体附着装置牢固，不超载运行。		*轨道式起重机无有效限位及保险装置，电缆拖地行走，发现一次扣2分。		
			*塔吊基础和架体附着装置牢固，轨道式起重机限位及保险装置有效。		*起重设备安全保险装置、钢丝绳、滑轮、吊索、卡环、地锚等损坏或不规范的，发现一处扣1分。		
			吊装大、重、新结构构件和采用新的吊装工艺应先进行试吊。		*起重设备违章操作、停机，发现一次扣1分，铭牌未按要求悬挂，发现一处扣1分。		
			起重机严禁吊人。		操作人员无证，发现1人次扣2分。		
			作业人员严禁在已吊起的构件下或起重臂旋转范围内作业或通行。		特种设备未报验即投入使用，扣10分。		
			起重设备安全保险装置、钢丝绳、滑轮、吊索、卡环、地锚等应安全可靠。		使用过程中起重臂下站人，发现一次扣1分。		
			检验合格铭牌悬挂于明显位置。				
			操作人员持证上岗。				
		3.6爆破作业（10分）	*从事爆破工作的爆破员、安全员、保管员应持证上岗。	查证件、查看现场与资料比对检查。	*从事爆破工作的爆破员、安全员、保管员未持证上岗，发现一人次扣2分。		
			*爆破作业应严格按照审批的爆破设计方案或说明书进行施工。		*未按爆破设计方案进行作业，扣10分。		
			*爆破作业必须设置警戒区和警戒人员。		*爆破作业未设置警戒区和警戒人员，或警戒时间不足的，或起爆前未按规定检查、起爆后未按规定清查哑炮的，发现一次视情节扣2-4分。		
		3.7基坑施工（8分）	*深基坑施工应编制专项施工方案并经审核通过。	查看现场与资料比对检查。	*未编制专项施工方案，或方案未经审批通过，扣6分。施工方案内容不全、操作性差，视情节扣2-4分。		
			*严格按方案开挖和支护。		*基坑开挖和支护与施工方案不符，视情节扣2-4分。		
			*降排水系统合理可靠。		*未按方案要求进行基坑沉降和位移观测，或观测不规范、不连续，视情节扣2-4分。		
			*深基坑边坡、支护结构等应进行沉降和位移监测。		*基坑临时降排水系统失效，发现一处扣3分。		
			基坑边坡的堆载安全间距及安全防护措施应满足设计或相关技术规范要求。		基坑边坡堆载安全间距及安全防护措施不满足设计或相关技术规范要求，发现一处扣1分。		
